日目お疲れ様～！！,0,2
今回のお客さんの満足度は・・・￥えーと・・・,0,4
うん！！￥まずまずな入りベシね！！,1,2
おぉ～！！お客さんが以前より満足してるベシ！！,2,2
手伝ってくれてありがとうベシ！！,2,2
この調子で頑張るベシ！！,2,2
凄い！！凄いベシよ！！￥もの凄く満足してくれてるベシ！！,3,2
手伝ってくれて助かったベシ！！本当にありがとうベシ！！,3,2
もう少し頑張るベシ！！,4,4
今回のおかげで、店を少し大きくすることが出来たベシよ！！,5,4
閉店時間も伸びたベシから￥これからもっとお客さんを満足できそうベシ！！,5,4
今回の満足度で店を物凄く大きくしたベシ！！,6,4
従業員も増えて、￥閉店時間も伸びたからもっともっとお客さんを喜ばせるベシ！！,6,2
またよろしくベシ～,7,2
finish,7,0
三日間手伝ってくれて、本当にありがとうベシ！！,8,2
君が手伝ってくれて本当に助かったベシ～,8,2
ネットでの評判はどうなっているかベシ？,8,3
最後に確認するから、よろしくベシ～,8,2
この三日間手伝ってくれて本当にありがとうベシ！！,8,2
