使用名,ファイル名,元サイズ幅,元サイズ高さ,区切り幅,区切り高さ,区切り数横,区切り数高さ,表示幅,表示高さ
カーソル,Data\Texture\UI\Game\CursorUp.png,74,73,74,73,1,1,1,1
行動選択,Data\Texture\UI\Game\Select.png,256,256,256,256,1,1,5,5
移動文字,Data\Texture\UI\Game\ActMoveString.png,80,180,80,180,1,1,1.6,3.6
休憩文字,Data\Texture\UI\Game\ActRestString.png,80,180,80,180,1,1,1.6,3.6
泡,Data\Texture\UI\Game\bubble.png,350,350,350,350,1,1,1,1
睡眠のｚ,Data\Texture\UI\Game\Z.png,70,70,70,70,1,1,1,1
汗,Data\Texture\UI\Game\Swet.png,300,300,300,300,1,1,1,1
テキストボックス小,Data\Texture\UI\Game\TextBoxSmall.png,209,57,209,57,1,1,4,1
「いいえ」の回答,Data\Texture\UI\Game\AnswerNo.png,220,70,220,70,1,1,3,1
「はい」の回答,Data\Texture\UI\Game\AnswerYes.png,150,70,150,70,1,1,2,1
驚き,Data\Texture\UI\Game\shock.png,100,200,100,200,1,1,0.5,1
波線,Data\Texture\UI\Game\Wave.png,80,80,80,80,1,1,1.5,1.5
煙,Data\Texture\UI\Game\Smoke.png,200,200,200,200,1,1,2,2
はてなマーク,Data\Texture\UI\Game\QuestionMark.png,625,625,625,625,1,1,2,2
体力アイコン,Data\Texture\UI\Game\HelthIcon.png,618,405,103,101.25,6,4,1,1
８分音符,Data\Texture\UI\Game\eight_part_note.png,1321,1321,440.3333333,440.3333333,3,3,2,2
１６分音符,Data\Texture\UI\Game\sixteen_part_note.png,1321,1321,440.3333333,440.3333333,3,3,2,2
花,Data\Texture\UI\Game\flower.png,960,960,480,480,2,2,1.5,1.5
